cnpj,razao_social,nome_fantasia,uf,municipio,cep,data_abertura,situacao
02139652000307,,,,,,,
23426245000180,,,,,,,
01806823000252,,,,,,,
69357408000111,,,,,,,
12853917000118,,,,,,,
05527589000102,,,,,,,
00031708000100,,,,,,,
02575829000148,,,,,,,
13345728000105,,,,,,,
68481586404,,,,,,,
07266260000152,,,,,,,
08202116000115,,,,,,,
24093908000155,,,,,,,
22357140000154,,,,,,,
14508774000132,,,,,,,
09296295001484,,,,,,,
05423963014252,,,,,,,
02558157000839,,,,,,,
33000118000179,,,,,,,
04206050008246,,,,,,,
13506601000112,,,,,,,
33469172001644,,,,,,,
12522233000133,,,,,,,
22626956000136,,,,,,,
06981180000116,,,,,,,
25433004000194,,,,,,,
71910190691,,,,,,,
33014556003969,,,,,,,
08297810000163,,,,,,,
05077513000114,,,,,,,
01319851000164,,,,,,,
14552512000175,,,,,,,
14384555000199,,,,,,,
20092486000142,,,,,,,
23314933000159,,,,,,,
17191424000183,,,,,,,
12751469000141,,,,,,,
37063328000914,,,,,,,
04787155000170,,,,,,,
04662373000189,,,,,,,
11210422000108,,,,,,,
08892406000138,,,,,,,
12507247000188,,,,,,,
17960090000165,,,,,,,
03068322000160,,,,,,,
00306597001926,,,,,,,
25759283000342,,,,,,,
21672183000161,,,,,,,
06041725000104,,,,,,,
03086069000178,,,,,,,
04683237000175,,,,,,,
00001388000226,,,,,,,
22894796000106,,,,,,,
26281022000160,,,,,,,
02208438000195,,,,,,,
19046218001772,,,,,,,
19543099000104,,,,,,,
16599607000170,,,,,,,
07819858000121,,,,,,,
01744290000221,,,,,,,
04588291000131,,,,,,,
06117079000111,,,,,,,
17279670000191,,,,,,,
19983865000143,,,,,,,
18007445000169,,,,,,,
16937955000100,,,,,,,
23145287000143,,,,,,,
01930849000127,,,,,,,
18159459000106,,,,,,,
04196733000102,,,,,,,
20415295003602,,,,,,,
23975515000102,,,,,,,
17488693000106,,,,,,,
38619219000146,,,,,,,
15696692000121,,,,,,,
08401243000143,,,,,,,
01321096000403,,,,,,,
05020360000179,,,,,,,
04814024000135,,,,,,,
16631418000137,,,,,,,
25442013000141,,,,,,,
19990159000129,,,,,,,
08474773000111,,,,,,,
19848233000177,,,,,,,
00385408000129,,,,,,,
18598809000122,,,,,,,
02024746000160,,,,,,,
18696690000120,,,,,,,
16941734000105,,,,,,,
06042596000179,,,,,,,
03446122000102,,,,,,,
05462748000120,,,,,,,
04157583000110,,,,,,,
21981287000158,,,,,,,
05814279000160,,,,,,,
13569064000311,,,,,,,
13569064000907,,,,,,,
13569064000400,,,,,,,
17361190000175,,,,,,,
26617835000189,,,,,,,
08575903000102,,,,,,,
02196687000108,,,,,,,
09468823000110,,,,,,,
07749756000187,,,,,,,
05253967000107,,,,,,,
10863221000147,,,,,,,
06946804000164,,,,,,,
05835916000185,,,,,,,
71208516000174,,,,,,,
02558157000910,,,,,,,
